,小型車日間(元/時或次）,小型車夜間(元/時),小型車假日與特殊日(元/時）,小型車月租(元/月),機車單次(元/時或次),機車月租(元/月),大型重型機車月租(元/月)
1,,,,4000.00 ,20.00 ,300.00 ,
2,100.00 ,,,10000.00 ,,,
3,70.00 ,40.00 ,100.00 ,6200.00 ,,,
4,30.00 ,,,,,,
5,150.00 ,,,,,,
6,,10.00 ,60.00 ,3600.00 ,,,
7,50.00 ,10.00 ,60.00 ,4800.00 ,20.00 ,300.00 ,
8,40.00 ,20.00 ,,6000.00 ,,,
9,40.00 ,30.00 ,,2000.00 ,,,
10,50.00 ,,,,,,
11,20.00 ,10.00 ,30.00 ,4000.00 ,20.00 ,300.00 ,
12,50.00 ,10.00 ,60.00 ,4800.00 ,,,
13,150.00 ,,,,,,
14,100.00 ,,,,,,
15,100.00 ,,,,,,
16,40.00 ,,,,,,
17,80.00 ,,,10000.00 ,,,
18,40.00 ,,60.00 ,,,,
19,100.00 ,,,9000.00 ,,,
20,120.00 ,,,8000.00 ,,,
21,120.00 ,,,12000.00 ,,,
22,70.00 ,,,6300.00 ,,,
23,120.00 ,,,,,,
24,150.00 ,,,10000.00 ,,,
25,100.00 ,,,,,,
26,80.00 ,,,,,,
27,100.00 ,,,10000.00 ,,,
28,70.00 ,,,10000.00 ,60.00 ,,
29,150.00 ,,,10000.00 ,,,
30,200.00 ,,,8000.00 ,,,
31,40.00 ,20.00 ,60.00 ,5500.00 ,,,
32,80.00 ,,,8000.00 ,,,
33,60.00 ,,,6000.00 ,,,
34,60.00 ,,,7500.00 ,,,
35,50.00 ,30.00 ,,6500.00 ,,,
36,100.00 ,,,8000.00 ,,,
37,100.00 ,,,8800.00 ,,,
38,40.00 ,,,3500.00 ,20.00 ,,
39,150.00 ,,,10000.00 ,,,
40,150.00 ,,,15000.00 ,,,
41,200.00 ,,,,,,
42,120.00 ,,,10000.00 ,,,
43,80.00 ,,,10000.00 ,,,
44,100.00 ,,,10000.00 ,,,
45,40.00 ,10.00 ,,,,,
46,100.00 ,,,10000.00 ,30.00 ,3000.00 ,
47,40.00 ,10.00 ,,,,,
48,100.00 ,,,10000.00 ,,,
49,40.00 ,20.00 ,,,,,
50,40.00 ,,50.00 ,4800.00 ,10.00 ,300.00 ,2400.00 
51,120.00 ,,,12000.00 ,,,
52,80.00 ,,,8000.00 ,,,
53,30.00 ,,,5760.00 ,,,
54,120.00 ,,,8000.00 ,50.00 ,,
55,30.00 ,,,5760.00 ,,,
56,200.00 ,,,10000.00 ,,,
57,40.00 ,10.00 ,50.00 ,4000.00 ,,,
58,100.00 ,10000.00 ,,10000.00 ,,,
59,50.00 ,,,,,,
60,160.00 ,,,10500.00 ,,,
61,40.00 ,20.00 ,,5200.00 ,,,
62,100.00 ,,,8000.00 ,,,
63,80.00 ,,,8000.00 ,,,
64,30.00 ,10.00 ,30.00 ,2000.00 ,,,
65,70.00 ,,,4800.00 ,,,
66,70.00 ,,,,,,
67,60.00 ,,,7000.00 ,,,
68,100.00 ,,,,,,
69,30.00 ,10.00 ,60.00 ,4200.00 ,,,
70,50.00 ,,,,,,
71,30.00 ,10.00 ,60.00 ,5760.00 ,,,2880.00 
72,40.00 ,20.00 ,,,,,
73,60.00 ,,,,,,
74,40.00 ,,50.00 ,4000.00 ,,,2000.00 
75,100.00 ,,,,,,
76,40.00 ,,,,,,
77,50.00 ,,,,,,
78,20.00 ,4800.00 ,,100.00 ,,,
79,100.00 ,,,8000.00 ,,,
80,30.00 ,10.00 ,,5000.00 ,,,2500.00 
81,180.00 ,,,8000.00 ,,,
82,100.00 ,,,10000.00 ,30.00 ,3000.00 ,
83,50.00 ,10.00 ,,6000.00 ,,,3000.00 
84,80.00 ,,,8000.00 ,,,
85,50.00 ,,,5400.00 ,,,
86,120.00 ,,,8000.00 ,,,
87,60.00 ,,,,,,
88,30.00 ,10.00 ,40.00 ,3500.00 ,20.00 ,300.00 ,
89,30.00 ,,,5250.00 ,,,
90,100.00 ,,120.00 ,8000.00 ,,,
91,20.00 ,,,4800.00 ,,,
92,20.00 ,10.00 ,40.00 ,4200.00 ,10.00 ,300.00 ,
93,30.00 ,10.00 ,,4200.00 ,10.00 ,300.00 ,
94,20.00 ,,,4800.00 ,,,
95,50.00 ,10.00 ,,5760.00 ,,,2880.00 
96,40.00 ,10.00 ,,4800.00 ,,,
97,30.00 ,20.00 ,20.00 ,3600.00 ,,,1800.00 
98,30.00 ,,,4200.00 ,20.00 ,,
99,20.00 ,10.00 ,30.00 ,3000.00 ,,,
100,30.00 ,10.00 ,40.00 ,3500.00 ,,,
101,30.00 ,10.00 ,,3500.00 ,,,
102,50.00 ,10.00 ,,5760.00 ,,,
103,,,,12000.00 ,,,
104,30.00 ,,,4800.00 ,,,2400.00 
105,30.00 ,,,4800.00 ,,,2400.00 
106,30.00 ,20.00 ,20.00 ,3600.00 ,,,1800.00 
107,100.00 ,,,,,,
108,100.00 ,,,10000.00 ,,,
109,50.00 ,30.00 ,,12000.00 ,,,
110,20.00 ,10.00 ,30.00 ,2500.00 ,,,
111,50.00 ,,,7000.00 ,,,
112,40.00 ,,,,,,
113,30.00 ,10.00 ,40.00 ,3500.00 ,20.00 ,300.00 ,
114,40.00 ,,,,,,
115,80.00 ,,,8000.00 ,,,
116,30.00 ,,,4800.00 ,,,
117,30.00 ,,,,,,
118,40.00 ,10.00 ,50.00 ,5760.00 ,,,
119,40.00 ,,,7500.00 ,,,
120,40.00 ,,,,,,
121,30.00 ,,,4500.00 ,0.00 ,,
122,30.00 ,,,3600.00 ,0.00 ,,
123,30.00 ,10.00 ,,4000.00 ,,,
124,20.00 ,10.00 ,,3840.00 ,,,
125,40.00 ,,,,,,
126,120.00 ,,,,20.00 ,,
127,20.00 ,,,,,,
128,30.00 ,,,2400.00 ,,,
129,100.00 ,,,,,,
130,30.00 ,,,7200.00 ,,,
131,120.00 ,,,,,,
132,150.00 ,,,10000.00 ,80.00 ,1200.00 ,
133,150.00 ,,,10000.00 ,80.00 ,1200.00 ,
134,50.00 ,70.00 ,70.00 ,8000.00 ,,,
135,120.00 ,,,,,,
136,50.00 ,20.00 ,,5000.00 ,,,
137,40.00 ,,,,,,
138,20.00 ,,,,,,
139,20.00 ,,,4800.00 ,,,
140,120.00 ,,,,20.00 ,,
141,50.00 ,,,6000.00 ,,,
142,50.00 ,,,6000.00 ,,,
143,100.00 ,,,4000.00 ,25.00 ,,
144,50.00 ,,,6000.00 ,,,
145,40.00 ,30.00 ,,4500.00 ,,,2000.00 
146,80.00 ,,,,,,
147,30.00 ,,,5000.00 ,,,
148,30.00 ,,,7200.00 ,,,
149,40.00 ,10.00 ,50.00 ,6500.00 ,,,
150,40.00 ,30.00 ,,5760.00 ,,,2880.00 
151,20.00 ,30.00 ,30.00 ,4500.00 ,,,
152,30.00 ,,,,20.00 ,,
153,80.00 ,,,,,,
154,20.00 ,,30.00 ,,20.00 ,,
155,30.00 ,,40.00 ,4800.00 ,,,
156,30.00 ,,,7200.00 ,,,
157,30.00 ,10.00 ,40.00 ,6500.00 ,,,
158,40.00 ,10.00 ,50.00 ,6500.00 ,,,
159,80.00 ,,,,,,
160,20.00 ,,,,,,
161,120.00 ,,,12000.00 ,,,
162,40.00 ,10.00 ,,4000.00 ,,,
163,30.00 ,,,7200.00 ,,,
164,40.00 ,,,,,,
165,100.00 ,,,5000.00 ,,,
166,30.00 ,,,,,,
167,30.00 ,,,,,,
168,80.00 ,,,12000.00 ,,,
169,80.00 ,,,2000.00 ,,200.00 ,
170,30.00 ,,,5250.00 ,,,2625.00 
171,20.00 ,,,4800.00 ,,,
172,120.00 ,,,,,,
173,80.00 ,,,1800.00 ,,,
174,30.00 ,,,,20.00 ,,
175,40.00 ,,,,,,
176,80.00 ,,,2000.00 ,,,
177,30.00 ,,,,,,
178,40.00 ,,,,,,
179,100.00 ,,,,,,
180,150.00 ,,,8000.00 ,,,
181,80.00 ,,,10000.00 ,10.00 ,300.00 ,
182,200.00 ,,,20000.00 ,,,
183,120.00 ,,,12000.00 ,,,
184,80.00 ,,,,,,
185,30.00 ,,,7200.00 ,,,
186,100.00 ,,,10000.00 ,,,
187,30.00 ,,,4500.00 ,,,
188,80.00 ,,,10000.00 ,,,
189,20.00 ,,,,,,
190,60.00 ,30.00 ,60.00 ,3000.00 ,,,
