id,area,type,totalcar,totalmotor,totalbike,Pregnancy_First,Handicap_First,type2,serviceTime,totallargemotor,ChargingStation,farecar_weekday,farecar_night,farecar_haliday,farecar_month,faremotor_day/hour,faremotor_month,largemotor_month,parking_fare_classification
TPE0001,中山區,1,17,0,0,0,1,2.0,1,0.0,0.0,100.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0002,信義區,1,335,0,0,6,6,2.0,1,0.0,0.0,70.0,40.0,100.0,6200.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0003,松山區,1,457,0,10,11,10,1.0,1,0.0,12.0,30.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0004,信義區,2,56,0,0,0,1,2.0,0,0.0,0.0,150.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0005,文山區,1,1228,0,0,26,26,1.0,1,0.0,0.0,60.0,10.0,60.0,3600.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0006,萬華區,1,518,1653,0,11,11,1.0,1,0.0,10.0,50.0,10.0,60.0,4800.0,20.0,300.0,2000.0,mixed_parking_lot
TPE0007,中山區,1,105,0,0,4,3,2.0,1,0.0,2.0,40.0,20.0,-1.0,6000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0008,松山區,1,76,0,0,2,2,1.0,1,0.0,0.0,40.0,30.0,-1.0,2000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0009,松山區,1,24,0,0,0,1,1.0,0,0.0,2.0,50.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0010,萬華區,1,1672,274,0,33,64,1.0,1,14.0,5.0,20.0,10.0,30.0,4000.0,20.0,300.0,2000.0,mixed_parking_lot
TPE0011,中正區,1,441,0,0,9,9,1.0,1,1.0,9.0,50.0,10.0,60.0,4800.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0012,中山區,2,17,0,0,0,1,2.0,1,0.0,0.0,150.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0013,大安區,2,64,0,0,1,2,2.0,0,0.0,0.0,100.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0014,中山區,2,145,0,0,2,4,2.0,1,0.0,0.0,100.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0015,中山區,1,22,0,0,0,1,1.0,0,0.0,0.0,40.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0016,中山區,2,30,0,0,0,1,2.0,1,0.0,0.0,80.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0017,萬華區,2,16,0,0,0,1,2.0,0,0.0,0.0,40.0,-1.0,60.0,7000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0018,中山區,2,32,0,0,0,1,2.0,0,0.0,0.0,100.0,-1.0,-1.0,9000.0,-1.0,-1.0,2000.0,car_and_largemotor
TPE0020,松山區,1,272,0,0,0,6,2.0,1,0.0,0.0,120.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,car_and_largemotor
