id,area,name,type,summary,address,tel,payex,tw97x,tw97y,totalcar,totalmotor,totalbike,totalbus,Pregnancy_First,Handicap_First,Taxi_OneHR_Free,AED_Equipment,CellSignal_Enhancement,Accessibility_Elevator,Phone_Charge,Child_Pickup_Area,FareInfo,EntranceCoord,type2,ptype,serviceTime,totallargemotor,ChargingStation
139,士林區,捷運芝山站停車場(北側),1,計有30個小型車格,台北市士林區福國路70號,02-26550818,"小型車全日月租：4,000元/月，機車計次20元/次(隔日另計，以凌晨2時為基準)，全日月租：300元/月",302730.752,2777139.53,30,0,0,0,0,0,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.09357', 'Ycod': '121.5258', 'Address': ''}]}",,,,,
TPE0001,中山區,台灣聯通長春停車場,1,大型車:0格，小型車:17格(含身心障礙停車位1格)，機車:0格,長春路17號地下1層,2523-5000,"計時：100元/時，停車未滿1小時以1小時計算，逾1小時以上，未滿半小時以半小時計算。月租：全天10,000元/月，日間：9,000元/月(08-20)，夜間8,000元/月(20-08)。",302864.7812,2771989,17,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0002,信義區,嘟嘟房世貿一館站停車場,1,大型車:0格，小型車:335格(含身心障礙停車位6格，孕婦、育有六歲以下兒童停車位6格)，機車:0格,信義路5段5號地下1層,(02)26550818,"計時：白天(08-22)展覽期間100元/時，非展覽期間70元/時；夜間(22-翌日08)40元/時。停車未滿1小時以1小時計，逾1小時以上未滿半小時以半小時計費。月租:6,200元/月。全時段進場15分鐘內離場免收費。",306793.0312,2769567.25,335,0,0,0,6,6,0,0,0,0,0,0,{},{},民營停車場,,24小時,0,0
TPE0003,松山區,民生立體停車場,1,大型車:0格，小型車:457格(含身心障礙停車位10格，孕婦、育有六歲以下兒童停車位11格)，機車:0格，充電格位:12格,民生東路5段84號,0227608303,"小型車：計時 30元/時，全程以半小時計，全日雙月票11,520元。",306457.7812,2772361.5,457,0,10,0,11,10,0,0,0,0,0,0,"{'Holiday': [{'Period': '00~24', 'Fare': '30'}], 'WorkingDay': [{'Period': '00~24', 'Fare': '30'}]}","{'EntrancecoordInfo': [{'Xcod': '25.05847133', 'Ycod': '121.5594459', 'Address': '民生東路五段'}]}",本處自營停車場,S,24小時,0,12
TPE0004,信義區,台北世界貿易中心國際貿易大樓地下停車場,2,大型車:0格，小型車:56格(含身心障礙停車位1格)，機車:0格,基隆路1段333號地下3層(臨時停車區),0227576834,小型車：計時 150元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計。,306625.31250,2769695.75000,56,0,0,0,0,1,0,0,0,0,0,0,{},{},民營停車場,S,6時至24時,0,0
TPE0005,文山區,動物園河川高灘地堤外停車場,1,大型車:8格，小型車:1228格(含身心障礙停車位26格，孕婦、育有六歲以下兒童停車位26格)，機車:0格,河川高灘地,0225573722,"計時：小型車假日60元/時(06-18)、10元/時(18-06)，全程以半小時計費。月租：小型車全日3,600元/月，日間限時500元(周一至週五使用)。計次：小型車平日50元/次，隔日另計；大型車平日100元/次，隔日另計，假日不提供。",308306.0938,2765672.25,1228,0,0,8,26,26,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '24.99833', 'Ycod': '121.57927', 'Address': '新光路二段'}]}",市屬機關學校委外,D,24小時,0,0
TPE0006,萬華區,峨眉立體停車場,1,大型車:0格，小型車:518格(含身心障礙停車位11格，孕婦、育有六歲以下兒童停車位11格)，機車:1653格(含身心障礙停車位12格)，充電格位:10格,峨眉街83號地下1層及地上7層,,"小型車：計時 週一~週五(10時~22時)50元/時，(22時~10時)10元/時，週六、週日、行政機關放假之紀念日與民俗日(10時~24時)60元/時，(24時~10時)10元/時，全程以半小時計;月租 全日4,800元，日間4,000元(10時~22時)，夜間500元(21時~09時)。機車：機車收費20元/次;機車月租300元/月",300988.3438,2770772.5,518,1653,0,0,11,11,0,0,0,0,0,0,"{'Holiday': [{'Period': '00~10', 'Fare': '10'}, {'Period': '10~22', 'Fare': '50'}, {'Period': '22~24', 'Fare': '10'}], 'WorkingDay': [{'Period': '00~10', 'Fare': '10'}, {'Period': '10~22', 'Fare': '40'}, {'Period': '22~24', 'Fare': '10'}]}","{'EntrancecoordInfo': [{'Xcod': '25.04455', 'Ycod': '121.50561', 'Address': '昆明街'}]}",本處委外停車場,,24小時,0,10
TPE0007,中山區,花博公園圓山地下停車場,1,大型車:0格，小型車:105格(含身心障礙停車位3格，孕婦、育有六歲以下兒童停車位4格)，機車:0格，充電格位:2格,玉門街1號地下1層,0800-021-111,"計時:40元(08-22)、20元(22-08)，停放於充電格位之車輛，加收10元/時，依設備自動判斷未充電者再加收10元/時（未充電者合計加收20元/時），全程半小時計。月租：全日6,000元，夜間3,000元/月(22-08)。",302501.3125,2773512,105,0,0,0,4,3,0,0,0,0,0,0,{},{},民營停車場,D,24小時,0,2
TPE0008,松山區,北寧路地下停車場,1,大型車:0格，小型車:76格(含身心障礙停車位2格，孕婦、育有六歲以下兒童停車位2格)，機車:0格,八德路3段25號地下室,(02)2799-5657,"計時：40元/時(09-21)，30元/時(21-09)，全程以半小時計。月租：平日夜間(18-09)，星期六、日及政府行政機關放假之紀念日、民俗節日之全日2,000元/月。",305751.9375,2771327.75,76,0,0,0,2,2,0,0,0,0,0,0,"{'Holiday': [{'Period': '00~09', 'Fare': '30'}, {'Period': '09~21', 'Fare': '40'}, {'Period': '21~24', 'Fare': '30'}], 'WorkingDay': [{'Period': '00~09', 'Fare': '30'}, {'Period': '09~21', 'Fare': '40'}, {'Period': '21~24', 'Fare': '30'}]}","{'EntrancecoordInfo': [{'Xcod': '25.049244', 'Ycod': '121.552243', 'Address': '北寧路'}]}",本處委外停車場,,24小時,0,0
TPE0009,松山區,光復北路平面停車場,1,大型車:0格，小型車:24格(含身心障礙停車位1格)，機車:0格，充電格位:2格,八德路4段17巷9號,0227590666,小型車：計時 50元/時，全程以半小時計，本場未出售月票。,306336.2188,2771327.25,24,0,0,0,0,1,0,0,0,0,0,0,{},{},本處自營停車場,D,收費日：星期一至星期六，收費時間：07-20,0,2
