antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ChargingStation=0.0'}),frozenset({'type2=2.0'}),0.7289494787489976,0.5,0.47995188452285487,0.6584158415841584,1.316831683168317,1.0,0.11547714514835605,1.463768115942029,0.8876629443431063,0.6407922912205567,0.3168316831683169,0.809159805314934
frozenset({'Pregnancy_First=0.0'}),frozenset({'type2=2.0'}),0.6631916599839615,0.5,0.42742582197273454,0.6444981862152358,1.2889963724304716,1.0,0.09582999198075381,1.4064625850340136,0.6656682748146162,0.5809264305177111,0.2889963724304716,0.7496749150803524
frozenset({'farecar_weekday=0.0'}),frozenset({'type2=2.0'}),0.09663191659983962,0.5,0.05974338412189254,0.6182572614107883,1.2365145228215766,1.0,0.011427425821972731,1.3097826086956519,0.21173558298108108,0.11127707244212098,0.2365145228215766,0.3688720148272867
frozenset({'faremotor_day/hour=0.0'}),frozenset({'type2=2.0'}),0.7582197273456295,0.5,0.44266238973536487,0.5838180856689582,1.1676361713379164,1.0,0.06355252606255013,1.2013977128335451,0.5937988199101113,0.5427728613569321,0.16763617133791642,0.734571432569844
frozenset({'totalmotor=0.0'}),frozenset({'type2=2.0'}),0.7281475541299118,0.5,0.4290296712109062,0.5892070484581498,1.1784140969162995,1.0,0.06495589414595027,1.2171581769436997,0.5569266396493259,0.5368790767686904,0.1784140969162995,0.7236331954399811
frozenset({'type=1.0'}),frozenset({'type2=2.0'}),0.3917401764234162,0.5,0.3019246190858059,0.7707267144319345,1.541453428863869,1.0,0.10605453087409783,2.1808035714285716,0.5774861441949188,0.5118966689326988,0.541453428863869,0.6872879763017732
"frozenset({'Handicap_First=1.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.6952686447473937,0.5,0.4659182036888532,0.6701268742791234,1.3402537485582469,1.0,0.11828388131515638,1.5157342657342658,0.833103089047921,0.6388125343595381,0.34025374855824686,0.8009816408284149
frozenset({'ChargingStation=0.0'}),"frozenset({'type2=2.0', 'Handicap_First=1.0'})",0.7289494787489976,0.4859663191659984,0.4659182036888532,0.639163916391639,1.3152432404956664,1.0,0.11167330864322966,1.4245628532869126,0.8842792980883803,0.6220556745182011,0.2980302710458251,0.7989548954895489
"frozenset({'ChargingStation=0.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.6022453889334403,0.5,0.4194065757818765,0.696404793608522,1.392809587217044,1.0,0.11828388131515638,1.646929824561404,0.7090471380990564,0.6142102172636524,0.39280958721704406,0.7676089725861375
frozenset({'Pregnancy_First=0.0'}),"frozenset({'type2=2.0', 'ChargingStation=0.0'})",0.6631916599839615,0.47995188452285487,0.4194065757818765,0.6324062877871827,1.3176451810703704,1.0,0.10110648877273382,1.4147361562486813,0.7157493398889192,0.5795013850415514,0.29315441922994107,0.7531287913455545
