type,totalcar,totalmotor,totalbike,Pregnancy_First,Handicap_First,totallargemotor,ChargingStation,serviceTime,farecar_weekday,farecar_night,farecar_haliday,farecar_month,faremotor_day_hour,faremotor_month,largemotor_month,parking_fare_classification,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區
1.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,335.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,70.0,40.0,100.0,6200.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,457.0,0.0,10.0,11.0,10.0,0.0,12.0,1.0,30.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,150.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1228.0,0.0,0.0,26.0,26.0,0.0,0.0,1.0,60.0,10.0,60.0,3600.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,518.0,1653.0,0.0,11.0,11.0,0.0,10.0,1.0,50.0,10.0,60.0,4800.0,20.0,300.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,105.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0,40.0,20.0,-1.0,6000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,76.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,40.0,30.0,-1.0,2000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,24.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,50.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1672.0,274.0,0.0,33.0,64.0,14.0,5.0,1.0,20.0,10.0,30.0,4000.0,20.0,300.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,441.0,0.0,0.0,9.0,9.0,1.0,9.0,1.0,50.0,10.0,60.0,4800.0,-1.0,-1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,150.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,64.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,100.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,145.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,100.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,80.0,-1.0,-1.0,10000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,-1.0,60.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,-1.0,-1.0,9000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,272.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,120.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,120.0,-1.0,-1.0,12000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
